ResponseId,Variable group,Variable description,Variable options/statements,Value label,Value,Value_weighted,Question,Answer Option
R_3ha8iRZTiAhjRgf,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.887619048,Q3,1
R_2wAoiv4LxlEFhKJ,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Good,1,1.22883561643836,Q3,1
R_3rAn5LygpeH8jC1,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Very bad,1,0.887619048,Q3,1
R_3z4lEZQNaC9vF85,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.682167300380228,Q3,1
R_1dgCPpNmC4ke5oE,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.843786008230453,Q3,1
R_3EWq5b4brZzUGYw,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Very bad,1,1.58769911504425,Q3,1
R_3Dcp3tuKwixKMOJ,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.529233038348083,Q3,1
R_2CjhFjy2ILAEc5B,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.843786008230453,Q3,1
R_XzFaftvVswBSalj,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.811075949367089,Q3,1
R_ummtkq7wMFpOdqh,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Good,1,0.843786008230453,Q3,1
R_10q31xnUWEMmNR7,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Good,1,1.9086170212766,Q3,1
R_2OW2DlzOBAgcpRF,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Very bad,1,0.843786008230453,Q3,1
R_2EB38EU0mAVE8ch,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Very bad,1,1.289559748,Q3,1
R_ZfxPGx9gOq8ZZf3,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.811075949367089,Q3,1
R_2Pj9Kep4L1SYIhf,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Good,1,0.682167300380228,Q3,1
R_10ZcHnWXUVCRqDI,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Too good (more than necessary),1,0.811075949367089,Q3,1
R_2cq4KeAWB1H91gd,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Bad,1,0.843786008230453,Q3,1
R_2WAlV8gB0j7nWwH,Contribution of actors to make the Netherlands climate neutral,"Together with other European countries, the Netherlands has agreed to be climate neutral by 2050. This means that the Netherlands wants to emit 95% less CO2 in 2050 than in 1990. How well do you think the Dutch government, business and yourself are working towards this goal?",The Dutch Government,Very bad,1,1.289559748,Q3,1
